Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1881,-.18,-.13,.04,.06,.07,-.17,.02,-.02,-.14,-.21,-.17,-.06,-.07,-.08,-.16,.06,-.06,-.17
1882,.17,.15,.05,-.16,-.13,-.22,-.15,-.06,-.13,-.23,-.15,-.36,-.10,-.08,.09,-.08,-.15,-.17
1883,-.28,-.36,-.12,-.18,-.17,-.06,-.06,-.13,-.21,-.11,-.23,-.11,-.17,-.19,-.33,-.15,-.09,-.19
1884,-.12,-.07,-.36,-.39,-.33,-.34,-.32,-.27,-.26,-.24,-.33,-.30,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.45,-.43,-.33,-.31,-.28,-.23,-.23,-.10,-.33,-.34,-.40,-.37,-.36,-.25
1886,-.43,-.50,-.43,-.28,-.24,-.34,-.18,-.30,-.23,-.27,-.27,-.25,-.31,-.30,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.26,-.32,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.33,-.35,-.41,-.20,-.21,-.17,-.10,-.15,-.11,.02,.03,-.03,-.17,-.19,-.34,-.27,-.14,-.02
1889,-.08,.17,.07,.10,.00,-.09,-.07,-.20,-.23,-.25,-.33,-.28,-.10,-.08,.02,.06,-.12,-.27
1890,-.41,-.44,-.39,-.29,-.38,-.24,-.27,-.38,-.36,-.24,-.43,-.30,-.34,-.34,-.38,-.35,-.30,-.34
1891,-.33,-.46,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.31,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.28,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.14,-.41,-.38,-.27,-.24,-.14,-.32,-.27,-.24
1893,-.81,-.56,-.22,-.27,-.33,-.25,-.14,-.24,-.22,-.18,-.18,-.31,-.31,-.32,-.58,-.27,-.21,-.19
1894,-.52,-.28,-.23,-.44,-.30,-.40,-.24,-.23,-.28,-.23,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.27,-.21,-.16,-.16,-.12,-.10,-.16,-.14,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.01
1897,-.15,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.13,-.17,-.20,-.11,-.09,-.12,-.05,-.08,-.13
1898,-.02,-.29,-.51,-.30,-.30,-.19,-.22,-.27,-.21,-.34,-.38,-.23,-.27,-.27,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.36,-.20,-.23,-.31,-.16,-.08,-.04,-.04,.13,-.26,-.17,-.17,-.26,-.26,-.18,.02
1900,-.35,-.05,.00,-.09,-.09,-.10,-.13,-.09,-.06,.09,-.07,-.07,-.08,-.10,-.22,-.06,-.10,-.01
1901,-.22,-.11,.06,-.02,-.15,-.12,-.14,-.20,-.22,-.29,-.18,-.27,-.16,-.14,-.13,-.04,-.16,-.23
1902,-.17,-.07,-.28,-.28,-.32,-.30,-.28,-.30,-.29,-.28,-.35,-.41,-.28,-.27,-.17,-.29,-.29,-.31
1903,-.23,-.05,-.22,-.41,-.39,-.42,-.35,-.45,-.50,-.48,-.42,-.51,-.37,-.36,-.23,-.34,-.41,-.47
1904,-.63,-.57,-.48,-.50,-.51,-.48,-.50,-.48,-.55,-.38,-.17,-.33,-.47,-.48,-.57,-.50,-.49,-.37
1905,-.34,-.58,-.21,-.33,-.29,-.28,-.26,-.20,-.19,-.25,-.06,-.13,-.26,-.28,-.42,-.28,-.25,-.17
